# k2;k3;k4;k5;k6;k7;e;Vol;T
1.549889e+00;9.574442e-02;1.328531e+00;3.944494e-03;5.360591e-02;1.072889e+01;9.172653e-01;1.314856e-01;1.656286e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-118.mat
1.593577e+00;1.091947e-01;1.487982e+00;4.635386e-03;5.697122e-02;1.118280e+01;9.178421e-01;1.107615e-01;1.167703e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-165.mat
1.703952e+00;9.652581e-02;1.364238e+00;3.571000e-03;5.851641e-02;1.051593e+01;9.188131e-01;1.304602e-01;1.835054e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-158.mat
1.375750e+00;9.373396e-02;1.251966e+00;3.830284e-03;5.209187e-02;1.143048e+01;9.236655e-01;1.226538e-01;1.942791e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-149.mat
1.378215e+00;1.271552e-01;1.410188e+00;4.257480e-03;6.061602e-02;1.349327e+01;9.247133e-01;1.312809e-01;1.801560e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-164.mat
1.662663e+00;1.104305e-01;1.473120e+00;4.034741e-03;6.069219e-02;1.112708e+01;9.247217e-01;1.236975e-01;1.871883e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-101.mat
1.603303e+00;8.271471e-02;1.256256e+00;3.787692e-03;5.288687e-02;1.014441e+01;9.296052e-01;1.096038e-01;1.360141e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-192.mat
1.346585e+00;1.216279e-01;1.437126e+00;4.960270e-03;5.319390e-02;1.254276e+01;9.308473e-01;1.392478e-01;1.871296e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-133.mat
1.437274e+00;1.357360e-01;1.460256e+00;4.361886e-03;6.711703e-02;1.421159e+01;9.316170e-01;1.082611e-01;1.856694e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-109.mat
1.518207e+00;1.249544e-01;1.442157e+00;3.784310e-03;6.188631e-02;1.273733e+01;9.428128e-01;1.144188e-01;1.808106e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-176.mat
1.860417e+00;8.958853e-02;1.404156e+00;3.972376e-03;5.552968e-02;9.240671e+00;9.464160e-01;1.177966e-01;1.770976e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-168.mat
1.785683e+00;1.057229e-01;1.525696e+00;4.421188e-03;5.842917e-02;9.964598e+00;9.480341e-01;1.229757e-01;2.035154e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-199.mat
1.434522e+00;8.756078e-02;1.275367e+00;4.109647e-03;4.844871e-02;1.037394e+01;9.484467e-01;1.483136e-01;1.769581e+04
