# k2;k3;k4;k5;k6;k7;e;Vol;T
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-151.mat
1.936762e+00;1.468456e-01;7.508310e-01;1.139926e-02;1.626814e-01;2.660184e+01;1.139424e+00;NaN;6.162717e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-189.mat
3.514567e+00;8.672211e-02;9.862481e-01;1.613390e-03;1.473557e-01;1.244406e+01;1.195075e+00;NaN;7.927901e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-161.mat
3.091326e+00;1.250373e-01;8.514190e-01;6.626177e-03;1.976786e-01;1.957535e+01;1.211850e+00;NaN;5.873704e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-160.mat
1.702286e+00;1.960207e-01;1.043597e+00;9.930921e-03;1.429428e-01;2.630255e+01;1.308430e+00;NaN;7.146773e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-127.mat
3.961644e+00;5.731508e-02;9.832340e-01;2.028531e-03;1.096884e-01;8.454032e+00;1.342993e+00;NaN;1.056164e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-133.mat
3.668743e+00;5.702225e-02;1.290203e+00;1.824651e-02;6.766273e-02;6.337808e+00;1.394657e+00;NaN;7.233127e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-102.mat
4.248163e+00;4.077574e-02;1.241212e+00;1.087529e-02;6.607640e-02;5.111505e+00;1.418683e+00;NaN;6.613033e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-141.mat
4.191881e+00;5.175855e-02;1.114021e+00;2.833241e-03;9.711656e-02;6.962373e+00;1.428142e+00;NaN;6.154966e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-112.mat
7.853797e-01;1.959547e-01;1.082541e+00;1.161838e-02;6.475965e-02;2.725970e+01;1.462126e+00;NaN;6.730528e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-144.mat
9.867583e-01;2.158372e-01;1.502373e+00;7.597432e-03;6.997176e-02;2.354560e+01;1.532216e+00;NaN;7.718854e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-138.mat
7.707188e-01;1.756773e-01;8.317983e-01;6.729917e-03;8.210494e-02;3.190720e+01;1.552769e+00;NaN;6.705787e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-170.mat
9.504290e-01;2.006309e-01;1.037291e+00;3.746319e-03;8.467465e-02;2.782427e+01;1.568192e+00;NaN;7.601630e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-105.mat
7.452200e-01;2.148233e-01;1.460396e+00;2.651827e-03;6.113783e-02;2.422846e+01;1.736690e+00;NaN;1.051341e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-111.mat
4.570042e+00;9.331900e-02;7.183759e-01;7.579556e-03;2.243574e-01;1.548314e+01;1.753096e+00;NaN;6.755067e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-188.mat
