# k1;k2;k3;k4;k5;k6;e;Vol;T
3.259108e+00;5.030253e+00;2.276196e+02;3.751060e-01;4.443721e+00;1.458792e+01;3.788978e+00;6.542865e-08;2.129067e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-60.mat
1.556960e+00;3.987994e+00;4.729249e+02;1.160487e-01;1.121619e+00;6.814740e+00;3.860026e+00;9.201844e-09;1.264677e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-82.mat
1.411183e+00;4.936153e+00;2.760869e+02;4.256746e-01;4.352551e+00;6.173972e+00;3.874307e+00;8.498543e-12;1.417399e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-94.mat
2.687961e+00;4.605585e+00;4.273771e+02;1.734462e-01;2.893892e+00;1.193844e+01;3.884068e+00;1.530897e-07;1.831589e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-92.mat
3.476202e+00;4.376589e+00;4.538131e+02;3.816494e-01;2.380712e+00;1.527322e+01;3.923140e+00;4.758870e-07;2.286398e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-32.mat
1.950470e+00;5.004941e+00;2.998835e+02;3.552124e-01;4.450378e+00;8.608101e+00;4.051718e+00;7.234069e-11;1.511218e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-122.mat
3.004467e+00;5.180755e+00;1.759279e+02;4.676760e-01;4.943141e+00;1.345455e+01;4.089883e+00;2.609858e-09;2.237479e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-63.mat
2.094147e+00;4.945861e+00;3.577756e+02;7.197879e-01;4.159340e+00;9.347678e+00;4.095088e+00;1.550604e-10;1.445681e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-89.mat
2.772924e+00;4.625213e+00;4.454410e+02;2.421203e-01;3.116648e+00;1.227268e+01;4.137345e+00;4.005785e-09;1.690919e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-90.mat
2.749050e+00;4.977261e+00;3.575793e+02;1.719062e-01;4.116919e+00;1.227340e+01;4.146830e+00;4.898450e-09;1.654751e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-96.mat
2.274871e+00;4.824593e+00;4.193425e+02;1.064516e-01;3.592064e+00;1.014981e+01;4.214028e+00;1.536432e-10;1.529108e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-35.mat
2.070541e+00;4.654682e+00;4.548448e+02;2.212943e-01;3.171014e+00;9.162105e+00;4.236902e+00;6.179251e-10;1.423333e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-41.mat
2.124379e+00;4.928290e+00;4.165726e+02;3.633868e-01;3.863978e+00;9.595392e+00;4.322971e+00;4.105822e-09;1.536718e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-106.mat
5.991761e+00;4.623815e+00;3.864298e+02;3.307787e-01;3.294773e+00;2.624518e+01;4.398523e+00;8.459236e-08;2.639114e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-121.mat
3.123435e+00;5.322084e+00;1.127819e+02;1.042750e-01;5.431081e+00;1.386430e+01;4.567538e+00;9.879286e-12;1.813060e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-75.mat
4.773039e+00;4.687899e+00;4.584321e+02;4.364217e-01;3.304992e+00;2.108358e+01;4.581858e+00;1.536493e-07;2.485614e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-129.mat
1.656969e+00;4.785881e+00;4.641019e+02;6.510259e-01;3.812283e+00;7.280166e+00;4.633550e+00;4.956359e-10;1.571701e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-128.mat
2.246737e+00;4.536343e+00;5.484361e+02;1.886502e-01;2.516886e+00;1.007772e+01;4.804869e+00;3.610251e-08;1.693949e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-70.mat
1.562262e+00;4.373229e+00;5.697313e+02;7.036028e-01;2.052982e+00;6.990689e+00;4.842939e+00;1.262602e-08;1.506404e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-34.mat
2.748203e+00;4.426092e+00;5.545959e+02;2.411024e-01;2.483302e+00;1.207491e+01;4.852348e+00;1.092997e-07;1.773090e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-42.mat
4.499908e+00;4.514698e+00;5.365524e+02;3.961731e-01;2.637817e+00;2.016730e+01;4.914781e+00;6.759627e-08;2.247413e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-39.mat
1.614479e+00;5.441089e+00;2.071553e+02;9.609891e-01;5.769275e+00;7.250031e+00;4.917411e+00;5.713381e-12;1.507774e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-59.mat
3.113563e+00;4.384387e+00;5.882431e+02;7.270859e-01;2.137994e+00;1.394095e+01;5.051683e+00;7.159263e-08;1.868586e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-37.mat
5.021470e+00;5.012217e+00;4.510859e+02;4.302102e-01;4.209840e+00;2.252972e+01;5.109314e+00;5.855076e-09;2.435074e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-76.mat
2.802034e+00;5.528898e+00;2.268584e+02;4.661014e-01;6.004176e+00;1.255846e+01;5.216117e+00;1.068325e-10;1.804778e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-119.mat
2.367809e+00;5.300908e+00;3.619168e+02;2.170078e-01;5.527716e+00;1.048538e+01;5.299453e+00;1.100894e-10;1.865858e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-117.mat
3.156075e+00;5.729323e+00;1.404551e+02;3.006902e-01;6.452608e+00;1.427783e+01;5.560189e+00;5.789107e-10;2.461209e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-64.mat
3.737354e+00;4.893022e+00;5.537126e+02;2.222097e-01;3.971233e+00;1.679798e+01;5.564858e+00;4.898681e-08;1.978935e+03
