# k1;k2;k3;k4;k5;k6;e;Vol;T
2.248591e+00;3.795548e+00;6.799358e+01;5.767837e-01;2.735110e-01;9.969998e+00;9.010890e-01;NaN;1.176005e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-111.mat
2.276738e+00;3.784278e+00;1.023819e+02;4.162604e-01;3.153011e-01;1.007660e+01;9.017983e-01;NaN;1.225693e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-61.mat
2.341070e+00;3.747216e+00;7.365263e+01;7.383731e-01;1.569949e-01;1.054287e+01;9.257990e-01;NaN;9.870686e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-92.mat
2.108400e+00;3.796233e+00;8.516035e+01;4.492809e-01;2.724692e-01;9.496828e+00;9.293554e-01;NaN;1.360206e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-72.mat
2.260386e+00;4.120299e+00;2.127028e+01;7.117684e-01;1.402400e+00;1.007032e+01;9.304922e-01;NaN;1.002111e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-117.mat
2.159111e+00;3.806213e+00;4.182173e+01;1.276538e+00;3.131850e-01;9.624683e+00;9.444822e-01;NaN;1.047832e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-83.mat
2.189783e+00;3.855431e+00;1.412723e+02;5.137103e-01;2.745886e-01;9.729975e+00;9.673633e-01;NaN;1.020702e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-45.mat
2.193841e+00;3.807754e+00;9.404050e+01;3.383916e-01;2.943792e-01;9.811818e+00;9.708064e-01;NaN;1.062888e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-59.mat
2.269458e+00;3.914757e+00;3.227156e+01;1.645085e+00;6.654308e-01;1.011418e+01;9.937028e-01;NaN;1.178987e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-52.mat
2.119455e+00;3.833745e+00;3.227205e+01;1.031917e+00;2.598233e-01;9.392369e+00;1.008154e+00;NaN;1.689104e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-81.mat
2.408927e+00;3.912106e+00;1.386091e+02;1.902066e+00;7.238114e-01;1.069875e+01;1.024414e+00;NaN;1.268140e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-43.mat
2.244691e+00;3.766038e+00;2.620416e+01;1.088446e+00;2.873857e-01;9.880346e+00;1.031404e+00;NaN;1.164204e+03
